Male speech, man speaking|man
Jingle bell|bell
Bicycle bell|bicycle
Tuning fork|no
Wind chime|no
Change ringing (campanology)|campanary
Harmonica|harmonica
Accordion|accordion
Bagpipes|bagpipes
Didgeridoo|didgeridoo
Shofar|shofar
Theremin|theremin
Singing bowl|no
Musical ensemble|no
Bass (instrument role)|no
Scratching (performance technique)|no
=======================FROM HERE==============
Pop music
Grime music
Trap music
Beatboxing
Heavy metal
Punk rock
Grunge
Progressive rock
Rock and roll
Psychedelic rock
Rhythm and blues
Soul music
Dub
Swing music
Bluegrass
Funk
Folk music
Middle Eastern music
Jazz
Disco
Opera
House music
Techno
Dubstep
Electro
Oldschool jungle
Electronica
Electronic dance music
Drone music
Trance music
Noise music
UK garage
Cumbia
Salsa music
Soca music
Kuduro
Funk carioca
Flamenco
Blues
Music for children
New-age music
A capella
Afrobeat
Kwaito
Gospel music
Carnatic music
Music of Bollywood
Ska
Traditional music
Independent music
Song
Melody
Musical note
Drum beat
Chord
Harmony
Bassline
Loop
Drone
Background music
Theme music
Jingle (music)
Soundtrack music
================TO HERE===================
Lullaby|baby and bed
Video game music|video_console
Christmas music|christmas
Dance music|dance
Wedding music|wedding
Birthday music|birthday
Happy music|no
Funny music|no
Sad music|no
Tender music|no
Exciting music|no
Angry music|no
Scary music|no
Howl (wind)|no
Rustling leaves|tree
Wind noise (microphone)|no
Thunder|thunder
Raindrop|rain
Rain on surface|rain
Stream|river
Waterfall|waterfall
Waves, surf|sea or waves
Gurgling|bottle
Crackle|fire
Wildfire|fire
Sailboat, sailing ship|boat
Rowboat, canoe, kayak|kayak or canoe
Motorboat, speedboat|motorboat
Ship|ship
Toot|no
Car alarm|car
Power windows, electric windows|car
Skidding|car
Tire squeal|car
Car passing by|car and road
Race car, auto racing|auto_racing
Air brake|truck
Air horn, truck horn|truck
Reversing beeps|truck
Ice cream truck, ice cream van|ice_cream_truck
Bus|bus
Police car (siren)|police_car
Ambulance (siren)|ambulance
Fire engine, fire truck (siren)|fire_truck
Motorcycle|motorcycle
Traffic noise, roadway noise|car or truck or motorcycle or bus
Train whistle|train
Train horn|train
Railroad car, train wagon|train
Train wheels squealing|train
Subway, metro, underground|subway
Jet engine|jet
Propeller, airscrew|helicopter
Helicopter|helicopter
Fixed-wing aircraft, airplane|airplane
Skateboard|skateboard
Dental drill, dentist's drill|dental_drill
Lawn mower|lawn_mower
Chainsaw|chainsaw
Medium engine (mid frequency)|motorcycle
Heavy engine (low frequency)|truck or ship
Engine knocking|no
Engine starting|car
Idling|car
Accelerating, revving, vroom|car or truck or motorcycle
Ding-dong|doorbell
Sliding door|no
Slam|no
Knock|no
Tap|no
Squeak|no
Cupboard open or close|cupboard
Drawer open or close|drawer
Dishes, pots, and pans|dish or pot or pan
Cutlery, silverware|cutlery
Chopping (food)|chop
Frying (food)|fry
Microwave oven|microwave
Blender|blender
Kettle whistle|kettle
Water tap, faucet|sink
Sink (filling or washing)|sink
Bathtub (filling or washing)|bathtub
Hair dryer|hair_dryer
Toilet flush|toilet_fulsh
Electric toothbrush|electric_toothbrush
Vacuum cleaner|vacuum_cleaner
Zipper (clothing)|zipper
Velcro, hook and loop fastener|velcro
Keys jangling|keys
Coin (dropping)|coins
Packing tape, duct tape|tape
Scissors|scissors
Electric shaver, electric razor|shaver
Shuffling cards|cards
Typewriter|typewriter
Computer keyboard|keyboard
Writing|paper and pen or pencil
Telephone bell ringing|telephone
Ringtone|telephone
Cellphone buzz, vibrating alert|telephone
Telephone dialing, DTMF|telephone
Dial tone|telephone
Busy signal|telephone
Alarm clock|clock
Civil defense siren|megaphone or speaker
Buzzer|no
Smoke detector, smoke alarm|smoke_detector
Fire alarm|fire_alarm
Foghorn|telephone
Steam whistle|telephone
Ratchet, pawl|bicycle
Tick|clock
Tick-tock|clock
Gears|no
Pulleys|no
Sewing machine|sewing_machine
Mechanical fan|fan
Air conditioning|air_conditioning
Cash register|cash_register
Printer|printer
Single-lens reflex camera|camera
Hammer|hammer
Jackhammer|jackhammer
Sawing|saw
Filing (rasp)|rasp
Sanding|no
Drill|drill
Machine gun|gun
Fusillade|fusile
Artillery fire|tank
Cap gun|cap_gun
Firecracker|fireworks
Burst, pop|no
Eruption|volcan
Sonic boom|bomb
Chop|no
Splinter|no
Crack|no
Snap|no
Chink, clink|no
Shatter|no
Slosh|swimming_pool
Squish|no
Drip|no
Trickle, dribble|no
Gush|no
Fill (with liquid)|no
Spray|no
Pump (liquid)|no
Stir|no
Boiling|no
Sonar|no
Duck call (hunting tool)|no
Whoosh, swoosh, swish|arrow
Thunk|arrow
Clunk|arrow
Wobble|arrow
Electronic tuner|electronic_tuner
Guitar amplifier|amplifier
Chorus effect|no
Basketball bounce|basketball_ball
Bang|no
Slap, smack|no
Whack, thwack|no
Smash, crash|no
Breaking|no
Bouncing|ball
Whip|no
Flap|no
Scratch|no
Scrape|no
Rub|no
Roll|no
Grind|no
Crushing|no
Crumpling, crinkling|no
Tearing|no
Beep, bleep|computer
Ping|no
Ding|no
Clang|no
Twang|no
Squeal|no
Screech|no
Creak|no|no
Rustle
Whir|no
Clatter|no
Sizzle|no
Clickety-clack|typewriter
Rumble|no
Blare|no
Plop|no
Jingle, tinkle|no
Fizz|no
Puff|no
Hum|no
Zing|no
Boing|no
Crunch|no
Silence|no
Harmonic|no
Chirp tone|no
Sound effect|no
Pulse|no
Infrasound|no
Bass (frequency range)|no
Ringing (of resonator)|no
Inside, small room|living_room or bedroom or room (less than 15 people)
Inside, large room or hall|hall
Inside, public space|public_space(indoor)
Outside, urban or manmade|street or avenue... (outside urban)
Outside, rural or natural|camp or field... (outside rural)
Reverberation|no
Echo|no
Environmental noise|no
Tape hiss|no
Static|no
Mains hum|no
Distortion|no
Sidetone|no
Cacophony|no
White noise|no
Pink noise|no
Throbbing|no
Vibration|no
Television|television
Radio|radio
Loudspeaker|loudspeaker
Headphones|headphones
Field recording|no
Gramophone record|gramophone
Compact disc|CD
MP3|MP·
